team_name,player_name,player_role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,start,end,experience,cluster_id
India,Ravichandran Ashwin,Bowling Allrounder,116.0,63.0,20.0,707.0,65.0,16.44,813.0,86.96,0.0,1.0,6.0,60,7,2010,2023,13.0,0
India,Shardul Thakur,Bowler,47.0,25.0,6.0,329.0,50.0,17.31,313.0,105.11,0.0,1.0,1.0,31,9,2017,2023,6.0,1
India,Jasprit Bumrah,Bowler,84.0,24.0,13.0,89.0,16.0,8.09,155.0,57.41,0.0,0.0,5.0,10,1,2016,2023,7.0,0
India,Mohammed Siraj,Bowler,36.0,13.0,7.0,37.0,9.0,6.16,92.0,40.21,0.0,0.0,1.0,2,0,2019,2023,4.0,0
India,Kuldeep Yadav,Bowler,96.0,35.0,18.0,179.0,19.0,10.52,315.0,56.82,0.0,0.0,3.0,14,0,2017,2023,6.0,0
India,Mohammed Shami,Bowler,96.0,46.0,20.0,212.0,25.0,8.15,251.0,84.46,0.0,0.0,6.0,16,9,2013,2023,10.0,0
India,Ishan Kishan,Wicketkeeper Batter,27.0,24.0,2.0,933.0,210.0,42.4,913.0,102.19,1.0,7.0,1.0,95,33,2021,2023,2.0,1
India,Surya Kumar Yadav,Batter,32.0,30.0,4.0,718.0,72.0,27.61,682.0,105.27,0.0,4.0,3.0,72,19,2021,2023,2.0,1
Netherlands,Scott Edwards,Wicketkeeper Batter,44.0,41.0,7.0,1416.0,86.0,41.64,1532.0,92.42,0.0,15.0,2.0,111,14,2018,2023,5.0,1
Netherlands,Max O'Dowd,Opening Batter,39.0,39.0,2.0,1219.0,90.0,32.94,1672.0,72.9,0.0,10.0,3.0,123,15,2019,2023,4.0,1
Netherlands,Bas de Leede,Batting Allrounder,36.0,35.0,1.0,879.0,123.0,25.85,1309.0,67.15,1.0,3.0,3.0,60,15,2018,2023,5.0,1
Netherlands,Paul van Meekeren,Bowler,19.0,16.0,7.0,86.0,21.0,9.55,108.0,79.62,0.0,0.0,4.0,5,2,2013,2023,10.0,0
Netherlands,Colin Ackermann,Batting Allrounder,13.0,12.0,0.0,363.0,81.0,30.25,474.0,76.58,0.0,3.0,0.0,35,2,2021,2023,2.0,1
Netherlands,Roelof van der Merwe,Bowling Allrounder,21.0,13.0,3.0,137.0,57.0,13.7,135.0,101.48,0.0,1.0,2.0,11,4,2009,2023,14.0,0
Netherlands,Logan van Beek,Bowler,30.0,29.0,10.0,457.0,59.0,24.05,566.0,80.74,0.0,1.0,3.0,29,12,2021,2023,2.0,0
Netherlands,Aryan Dutt,Bowler,31.0,24.0,6.0,154.0,23.0,8.55,222.0,69.36,0.0,0.0,3.0,8,7,2021,2023,2.0,0
Netherlands,Ryan Klein,Bowler,13.0,9.0,2.0,43.0,8.0,6.14,80.0,53.75,0.0,0.0,1.0,1,0,2022,2023,1.0,0
Netherlands,Wesley Barresi,Batter,46.0,45.0,5.0,1234.0,137.0,30.85,1561.0,79.05,1.0,8.0,5.0,128,20,2010,2023,13.0,1
Netherlands,Saqib Zulfiqar,Bowling Allrounder,14.0,14.0,2.0,191.0,34.0,15.91,286.0,66.78,0.0,0.0,1.0,15,4,2019,2023,4.0,0
New Zealand,Kane Williamson,Top order Batter,162.0,154.0,17.0,6632.0,148.0,48.4,8201.0,80.86,13.0,43.0,5.0,602,52,2010,2023,13.0,3
New Zealand,Trent Boult,Bowler,110.0,50.0,27.0,205.0,21.0,8.91,263.0,77.94,0.0,0.0,2.0,19,7,2012,2023,11.0,0
New Zealand,Mark Chapman,Allrounder,17.0,15.0,3.0,416.0,124.0,34.66,388.0,107.21,2.0,0.0,1.0,31,16,2015,2023,8.0,1
New Zealand,Devon Conway,Wicketkeeper Batter,28.0,27.0,3.0,1151.0,152.0,47.95,1286.0,89.5,5.0,3.0,2.0,136,16,2021,2023,2.0,1
New Zealand,Lockie Ferguson,Bowler,63.0,29.0,13.0,116.0,19.0,7.25,233.0,49.78,0.0,0.0,4.0,6,2,2016,2023,7.0,0
New Zealand,Matt Henry,Bowler,81.0,34.0,11.0,255.0,48.0,11.08,268.0,95.14,0.0,0.0,7.0,21,10,2014,2023,9.0,0
New Zealand,Tom Latham,Wicketkeeper Batter,140.0,127.0,14.0,3944.0,145.0,34.9,4618.0,85.4,7.0,23.0,10.0,333,53,2012,2023,11.0,2
New Zealand,Daryl Mitchell,Batting Allrounder,35.0,31.0,5.0,1347.0,130.0,51.8,1410.0,95.53,5.0,5.0,0.0,106,34,2021,2023,2.0,1
New Zealand,Jimmy Neesham,Batting Allrounder,75.0,64.0,12.0,1495.0,97.0,28.75,1488.0,100.47,0.0,7.0,2.0,128,38,2013,2023,10.0,1
New Zealand,Mitch Santner,Bowling Allrounder,100.0,75.0,28.0,1313.0,67.0,27.93,1440.0,91.18,0.0,3.0,3.0,99,36,2015,2023,8.0,1
