team_name,player_name,player_id,player_role,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Australia,Mitchell Starc,311592,Bowler,2010-2023,117,68,24,542,52*,12.31,661,81.99,0,1,11,40,14
Bangladesh,Shakib Al Hasan,56143,Allrounder,2006-2023,246,233,31,7488,134*,37.06,9073,82.53,9,55,12,687,52
Bangladesh,Litton Kumer Das,536936,Wicketkeeper Batter,2015-2023,84,83,7,2475,176,32.56,2855,86.69,5,12,12,265,42
Bangladesh,Tanzid Hasan Tamim,990023,Opening Batter,12,11,0,134,51,12.18,144,93.05,0,1,2,21,3,
Bangladesh,Najmul Hossain Shanto,629058,Top order Batter,2018-2023,37,36,1,995,117,28.42,1279,77.79,2,6,5,100,10
Bangladesh,Tawhid Hridoy,990031,Top order Batter,22,19,1,593,92,32.94,724,81.90,0,5,1,43,10,
Bangladesh,Mushfiqur Rahim,56029,Wicketkeeper Batter,2006-2023,263,246,40,7577,144,36.78,9519,79.59,9,48,11,597,98
Bangladesh,Mahmudullah Riyad,56025,Allrounder,2007-2023,227,197,51,5294,128*,36.26,6908,76.63,4,28,9,398,88
Bangladesh,Mehidy Hasan Miraz,629063,Allrounder,2017-2023,89,62,10,1215,112*,23.36,1569,77.43,2,3,4,108,20
Bangladesh,Nasum Ahmed,348049,Bowler,14,8,2,149,44,24.83,164,90.85,0,0,0,17,5,
Bangladesh,Shak Mahedi Hasan,833087,Allrounder,2021-2023,10,9,1,120,29*,15.00,185,64.86,0,0,0,10,2
Bangladesh,Taskin Ahmed,538506,Bowler,2014-2023,68,37,10,199,21,7.37,363,54.82,0,0,7,12,7
Bangladesh,Mustafizur Rahman,330902,Bowler,2015-2023,100,51,30,160,20,7.61,309,51.77,0,0,9,18,1
Bangladesh,Hasan Mahmud,926629,Bowler,2021-2023,20,12,4,45,15,5.62,92,48.91,0,0,3,6,0
Bangladesh,Shoriful Islam,990039,Bowler,2021-2023,29,18,8,77,16,7.70,97,79.38,0,0,1,5,3
Bangladesh,Tanzim Hasan Sakib,1139520,Bowler,2,1,1,14,14*,-,8,175.00,0,0,0,1,1,
England,Jos Buttler,308967,Wicketkeeper Batter,2012-2023,175,148,26,4928,162*,40.39,4193,117.52,11,25,13,400,166
England,Moeen Ali,8917,Batting Allrounder,2014-2023,135,109,15,2301,128,24.47,2335,98.54,3,6,6,197,77
England,Gus Atkinson,1039481,Bowler,4,2,0,37,35,18.50,24,154.16,0,0,0,7,0,
England,Jonny Bairstow,297433,Wicketkeeper Batter,2011-2023,104,95,8,3794,141*,43.60,3679,103.12,11,16,8,428,91
England,Harry Brook,911707,Batter,10,10,0,251,80,25.10,272,92.27,0,2,1,26,7,
England,Sam Curran,662973,Allrounder,2018-2023,29,22,3,418,95*,22.00,441,94.78,0,1,1,25,19
England,Liam Livingstone,403902,Batting Allrounder,2021-2023,21,19,3,494,95*,30.87,462,106.92,0,3,2,35,22
England,Dawid Malan,236489,Top order Batter,2019-2023,27,27,4,1282,140,55.73,1311,97.78,6,5,5,131,29
England,Adil Rashid,244497,Bowler,2009-2023,132,65,21,805,69,18.29,822,97.93,0,1,6,79,11
England,Joe Root,303669,Top order Batter,2013-2023,168,157,23,6421,133*,47.91,7392,86.86,16,38,9,513,49
England,Ben Stokes,311158,Allrounder,2011-2023,111,96,15,3207,182,39.59,3369,95.19,4,22,7,263,98
England,Reece Topley,461632,Bowler,2015-2023,29,14,11,35,15*,11.66,70,50.00,0,0,1,3,1
England,David Willey,308251,Bowling Allrounder,2015-2023,70,43,19,627,51,26.12,672,93.30,0,2,1,52,22
England,Mark Wood,351588,Bowler,2015-2023,65,25,14,157,43*,14.27,156,100.64,0,0,4,14,5
England,Chris Woakes,247235,Allrounder,2011-2023,119,85,23,1437,95*,23.17,1628,88.26,0,5,8,108,19
India,Rohit Sharma,34102,Top order Batter,2007-2023,257,249,36,10510,264,49.34,11504,91.35,31,54,16,971,312
India,Hardik Pandya,625371,Allrounder,2016-2023,86,61,9,1769,92*,34.01,1603,110.35,0,11,4,132,67
India,Shubman Gill,1070173,Opening Batter,2019-2023,39,39,6,2021,208,61.24,1974,102.38,6,10,1,228,42
India,Virat Kohli,253802,Top order Batter,2008-2023,287,275,43,13437,183,57.91,14350,93.63,48,69,16,1255,148
India,Shreyas Iyer,642519,Top order Batter,2017-2023,53,48,5,1935,113*,45.00,1998,96.84,3,15,1,188,40
India,KL Rahul,422108,Wicketkeeper Batter,2016-2023,67,63,13,2507,112,50.14,2885,86.89,6,16,2,196,55
India,Ravindra Jadeja,234675,Allrounder,2009-2023,192,129,46,2683,87,32.32,3179,84.39,0,13,6,195,52
India,Ravichandran Ashwin,26421,Bowling Allrounder,2010-2023,116,63,20,707,65,16.44,813,86.96,0,1,6,60,7
India,Shardul Thakur,475281,Bowler,2017-2023,47,25,6,329,50*,17.31,313,105.11,0,1,1,31,9
India,Jasprit Bumrah,625383,Bowler,2016-2023,84,24,13,89,16,8.09,155,57.41,0,0,5,10,1
India,Mohammed Siraj,940973,Bowler,2019-2023,36,13,7,37,9,6.16,92,40.21,0,0,1,2,0
India,Kuldeep Yadav,559235,Bowler,2017-2023,96,35,18,179,19,10.52,315,56.82,0,0,3,14,0
India,Mohammed Shami,481896,Bowler,2013-2023,96,46,20,212,25,8.15,251,84.46,0,0,6,16,9
India,Ishan Kishan,720471,Wicketkeeper Batter,2021-2023,27,24,2,933,210,42.40,913,102.19,1,7,1,95,33
India,Surya Kumar Yadav,446507,Batter,2021-2023,32,30,4,718,72*,27.61,682,105.27,0,4,3,72,19
Netherlands,Scott Edwards,1127317,Wicketkeeper Batter,2018-2023,44,41,7,1416,86,41.64,1532,92.42,0,15,2,111,14
Netherlands,Max O'Dowd,643197,,2019-2023,39,39,2,1219,90,32.94,1672,72.90,0,10,3,123,15
Netherlands,Bas de Leede,1036191,Batting Allrounder,2018-2023,36,35,1,879,123,25.85,1309,67.15,1,3,3,60,15
Netherlands,Vikram Singh,35281,Opening Batter,2,1,0,8,8,8.00,13,61.53,0,0,0,1,0,
Netherlands,Teja Nidamanuru,1129328,Allrounder,25,25,3,570,111,25.90,621,91.78,2,2,4,43,13,
Netherlands,Paul van Meekeren,348109,Bowler,2013-2023,19,16,7,86,21*,9.55,108,79.62,0,0,4,5,2
Netherlands,Colin Ackermann,379774,Batting Allrounder,2021-2023,13,12,0,363,81,30.25,474,76.58,0,3,0,35,2
Netherlands,Roelof van der Merwe,47850,Bowling Allrounder,2009-2023,21,13,3,137,57,13.70,135,101.48,0,1,2,11,4
Netherlands,Logan van Beek,440522,Bowler,2021-2023,30,29,10,457,59,24.05,566,80.74,0,1,3,29,12
Netherlands,Aryan Dutt,1195672,Bowler,2021-2023,31,24,6,154,23*,8.55,222,69.36,0,0,3,8,7
Netherlands,Ryan Klein,594996,Bowler,2022-2023,13,9,2,43,8*,6.14,80,53.75,0,0,1,1,0
Netherlands,Wesley Barresi,44407,Batter,2010-2023,46,45,5,1234,137*,30.85,1561,79.05,1,8,5,128,20
Netherlands,Saqib Zulfiqar,526481,Bowling Allrounder,2019-2023,14,14,2,191,34*,15.91,286,66.78,0,0,1,15,4
Netherlands,Shariz Ahmad,1278252,Bowler,12,9,1,70,30,8.75,116,60.34,0,0,0,3,0,
Netherlands,Sybrand Engelbrecht,315035,Allrounder,5,5,0,164,70,32.80,235,69.78,0,1,0,12,2,
New Zealand,Kane Williamson,277906,Top order Batter,2010-2023,162,154,17,6632,148,48.40,8201,80.86,13,43,5,602,52
New Zealand,Trent Boult,277912,Bowler,2012-2023,110,50,27,205,21*,8.91,263,77.94,0,0,2,19,7
New Zealand,Mark Chapman,438563,Allrounder,2015-2023,17,15,3,416,124*,34.66,388,107.21,2,0,1,31,16
New Zealand,Devon Conway,379140,Wicketkeeper Batter,2021-2023,28,27,3,1151,152*,47.95,1286,89.50,5,3,2,136,16
New Zealand,Lockie Ferguson,493773,Bowler,2016-2023,63,29,13,116,19,7.25,233,49.78,0,0,4,6,2
New Zealand,Matt Henry,506612,Bowler,2014-2023,81,34,11,255,48*,11.08,268,95.14,0,0,7,21,10
New Zealand,Tom Latham,388802,Wicketkeeper Batter,2012-2023,140,127,14,3944,145*,34.90,4618,85.40,7,23,10,333,53
New Zealand,Daryl Mitchell,381743,Batting Allrounder,2021-2023,35,31,5,1347,130,51.80,1410,95.53,5,5,0,106,34
New Zealand,Jimmy Neesham,355269,Batting Allrounder,2013-2023,75,64,12,1495,97*,28.75,1488,100.47,0,7,2,128,38
New Zealand,Glenn Phillips,823509,Wicketkeeper Batter,26,20,2,576,72,32.00,636,90.56,0,3,0,40,22,
New Zealand,Rachin Ravindra,959767,Batting Allrounder,18,14,1,595,123*,45.76,546,108.97,2,3,1,52,18,
New Zealand,Mitch Santner,502714,Bowling Allrounder,2015-2023,100,75,28,1313,67,27.93,1440,91.18,0,3,3,99,36
New Zealand,Ish Sodhi,559066,Bowler,2015-2023,49,24,4,201,35,10.05,276,72.82,0,0,5,7,10
New Zealand,Tim Southee,232364,Bowler,2008-2023,157,94,35,724,55,12.27,750,96.53,0,1,13,57,26
New Zealand,Will Young,547749,Top order Batter,2021-2023,27,27,3,991,120,41.29,1157,85.65,2,7,3,102,20
Pakistan,Babar Azam,348144,Batter,2015-2023,115,112,12,5625,158,56.25,6347,88.62,19,31,4,508,58
Pakistan,Shadab Khan,922943,Allrounder,2017-2023,69,43,11,851,86,26.59,990,85.95,0,4,3,50,19
